incident_zip,demand_volume,constraint_volume,demand_norm,constraint_norm,final_score,action
10475,19.0,103.0,0.011046511627906977,0.05220476431829701,15.6,⚠️避開 (需求低或交通嚴重受阻)
11360,35.0,154.0,0.020348837209302327,0.07805372529143437,15.43,⚠️避開 (需求低或交通嚴重受阻)
10314,129.0,409.0,0.075,0.20729853015712113,15.37,⚠️避開 (需求低或交通嚴重受阻)
11416,105.0,365.0,0.061046511627906974,0.1849974657881399,14.97,⚠️避開 (需求低或交通嚴重受阻)
10065,31.0,167.0,0.01802325581395349,0.08464267612772428,14.96,⚠️避開 (需求低或交通嚴重受阻)
11230,172.0,548.0,0.1,0.277749619868221,14.89,⚠️避開 (需求低或交通嚴重受阻)
11365,117.0,419.0,0.06802325581395349,0.21236695387734414,14.53,⚠️避開 (需求低或交通嚴重受阻)
11356,108.0,399.0,0.06279069767441861,0.20223010643689812,14.45,⚠️避開 (需求低或交通嚴重受阻)
11414,78.0,329.0,0.04534883720930233,0.16675114039533706,14.25,⚠️避開 (需求低或交通嚴重受阻)
11231,226.0,732.0,0.1313953488372093,0.3710086163203244,14.11,⚠️避開 (需求低或交通嚴重受阻)
10464,14.0,167.0,0.00813953488372093,0.08464267612772428,14.06,⚠️避開 (需求低或交通嚴重受阻)
11215,124.0,468.0,0.07209302325581396,0.2372022301064369,13.93,⚠️避開 (需求低或交通嚴重受阻)
11374,88.0,375.0,0.05116279069767442,0.1900658895083629,13.86,⚠️避開 (需求低或交通嚴重受阻)
11357,91.0,386.0,0.05290697674418605,0.1956411556006082,13.81,⚠️避開 (需求低或交通嚴重受阻)
11354,145.0,550.0,0.08430232558139535,0.27876330461226556,13.42,⚠️避開 (需求低或交通嚴重受阻)
11219,98.0,465.0,0.056976744186046514,0.23568170299037,12.61,⚠️避開 (需求低或交通嚴重受阻)
11377,266.0,946.0,0.15465116279069768,0.4794728839330968,11.99,⚠️避開 (需求低或交通嚴重受阻)
11370,52.0,391.0,0.030232558139534883,0.1981753674607197,11.64,⚠️避開 (需求低或交通嚴重受阻)
11209,169.0,715.0,0.09825581395348837,0.36239229599594525,11.42,⚠️避開 (需求低或交通嚴重受阻)
11228,73.0,472.0,0.04244186046511628,0.2392295995945261,11.14,⚠️避開 (需求低或交通嚴重受阻)
11385,498.0,1619.0,0.2895348837209302,0.8205778003041054,10.96,⚠️避開 (需求低或交通嚴重受阻)
11355,172.0,768.0,0.1,0.38925494171312724,10.53,⚠️避開 (需求低或交通嚴重受阻)
11222,235.0,1012.0,0.13662790697674418,0.5129244804865687,9.03,⚠️避開 (需求低或交通嚴重受阻)
11201,578.0,1973.0,0.336046511627907,1.0,8.18,⚠️避開 (需求低或交通嚴重受阻)
11379,69.0,672.0,0.04011627906976744,0.34059807399898634,6.97,⚠️避開 (需求低或交通嚴重受阻)
11204,70.0,685.0,0.040697674418604654,0.34718702483527625,6.76,⚠️避開 (需求低或交通嚴重受阻)
11214,202.0,1155.0,0.11744186046511627,0.5854029396857577,4.45,⚠️避開 (需求低或交通嚴重受阻)
11101,413.0,1745.0,0.24011627906976743,0.8844399391789154,3.95,⚠️避開 (需求低或交通嚴重受阻)
11205,201.0,1210.0,0.11686046511627907,0.6132792701469842,3.3,⚠️避開 (需求低或交通嚴重受阻)
11103,120.0,1010.0,0.06976744186046512,0.5119107957425241,2.97,⚠️避開 (需求低或交通嚴重受阻)
11421,197.0,1249.0,0.11453488372093024,0.633046122655854,2.32,⚠️避開 (需求低或交通嚴重受阻)
11378,132.0,1090.0,0.07674418604651163,0.5524581855043081,2.02,⚠️避開 (需求低或交通嚴重受阻)
11235,215.0,1414.0,0.125,0.7166751140395337,0.0,⚠️避開 (需求低或交通嚴重受阻)
